Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,23017,22054,21951
00:05,21554,21806,21844
00:10,21554,21806,21851
00:15,21554,21806,21740
00:20,21554,21576,21603
00:25,21554,21576,21505
00:30,21554,21576,21428
00:35,21554,21346,21323
00:40,21554,21346,21241
00:45,21554,21346,21085
00:50,21554,21037,20991
00:55,21554,21037,20982
01:00,21554,21037,20900
01:05,20724,20773,20825
01:10,20724,20773,20789
01:15,20724,20773,20689
01:20,20724,20597,20593
01:25,20724,20597,20577
01:30,20724,20597,20539
01:35,20724,20435,20409
01:40,20724,20435,20328
01:45,20724,20435,20296
01:50,20724,20250,20295
01:55,20724,20250,20245
02:00,20724,20250,20153
02:05,20231,20189,20098
02:10,20231,20189,20047
02:15,20231,20189,20047
02:20,20231,20120,19966
02:25,20231,20120,19986
02:30,20231,20120,19986
02:35,20231,19934,19904
02:40,20231,19934,19934
02:45,20231,19934,19904
02:50,20231,19873,19883
02:55,20231,19873,19888
03:00,20231,19873,19874
03:05,20116,19926,19816
03:10,20116,19926,19827
03:15,20116,19926,19859
03:20,20116,19933,19821
03:25,20116,19933,19880
03:30,20116,19933,19868
03:35,20116,19895,19867
03:40,20116,19895,19824
03:45,20116,19895,19919
03:50,20116,19996,19975
03:55,20116,19996,19989
04:00,20116,19996,20049
04:05,20720,20196,20088
04:10,20720,20196,20273
04:15,20720,20196,20377
04:20,20720,20415,20470
04:25,20720,20415,20497
04:30,20720,20415,20581
04:35,20720,20599,20617
04:40,20720,20599,20696
04:45,20720,20599,20779
04:50,20720,20964,20861
04:55,20720,20964,20977
05:00,20720,20964,21097
05:05,22319,21562,21269
05:10,22319,21562,21537
05:15,22319,21562,21732
05:20,22319,21992,21786
05:25,22319,21992,21939
05:30,22319,21992,22009
05:35,22319,22386,22231
05:40,22319,22386,22440
05:45,22319,22386,22552
05:50,22319,22854,22700
05:55,22319,22854,22833
06:00,22319,22854,22998
06:05,24875,23765,23452
06:10,24875,23765,23859
06:15,24875,23765,24121
06:20,24875,24396,24311
06:25,24875,24396,24527
06:30,24875,24396,24715
06:35,24875,24964,24921
06:40,24875,24964,25117
06:45,24875,24964,25197
06:50,24875,25355,25263
06:55,24875,25355,25372
07:00,24875,25355,25499
07:05,26443,25823,25720
07:10,26443,25823,25958
07:15,26443,25823,26017
07:20,26443,25959,26077
07:25,26443,25959,26183
07:30,26443,25959,26193
07:35,26443,26047,26246
07:40,26443,26047,26283
07:45,26443,26047,26205
07:50,26443,26057,26210
07:55,26443,26057,26207
08:00,26443,26057,26262
08:05,26662,26232,26339
08:10,26662,26232,26403
08:15,26662,26232,26439
08:20,26662,26272,26455
08:25,26662,26272,26520
08:30,26662,26272,26549
08:35,26662,26319,26602
08:40,26662,26319,26591
08:45,26662,26319,26559
08:50,26662,26460,26641
08:55,26662,26460,26770
09:00,26662,26460,26731
09:05,26507,26769,26677
09:10,26507,26769,26717
09:15,26507,26769,26705
09:20,26507,26785,26691
09:25,26507,26785,26688
09:30,26507,26785,26711
09:35,26507,26650,26656
09:40,26507,26650,26672
09:45,26507,26650,26775
09:50,26507,26589,26761
09:55,26507,26589,26664
10:00,26507,26589,26621
10:05,26044,26644,26518
10:10,26044,26644,26472
10:15,26044,26644,26419
10:20,26044,26571,26414
10:25,26044,26571,26483
10:30,26044,26571,26547
10:35,26044,26258,26553
10:40,26044,26258,26498
10:45,26044,26258,26372
10:50,26044,26310,26320
10:55,26044,26310,26298
11:00,26044,26310,26245
11:05,25606,26126,26223
11:10,25606,26126,26218
11:15,25606,26126,26150
11:20,25606,26081,26115
11:25,25606,26081,26082
11:30,25606,26081,26078
11:35,25606,26039,26064
11:40,25606,26039,25995
11:45,25606,26039,25961
11:50,25606,25903,26023
11:55,25606,25903,26071
12:00,25606,25903,25990
12:05,25399,25940,25931
12:10,25399,25940,26013
12:15,25399,25940,26000
12:20,25399,25926,26060
12:25,25399,25926,25991
12:30,25399,25926,25983
12:35,25399,25940,26053
12:40,25399,25940,26132
12:45,25399,25940,26168
12:50,25399,26066,26165
12:55,25399,26066,26208
13:00,25399,26066,26300
13:05,25409,26276,26322
13:10,25409,26276,26312
13:15,25409,26276,26338
13:20,25409,26316,26336
13:25,25409,26316,26385
13:30,25409,26316,26475
13:35,25409,26396,26542
13:40,25409,26396,26435
13:45,25409,26396,26446
13:50,25409,26505,26424
13:55,25409,26505,26487
14:00,25409,26505,26518
14:05,25516,26509,26540
14:10,25516,26509,26539
14:15,25516,26509,26529
14:20,25516,26585,26560
14:25,25516,26585,26605
14:30,25516,26585,26606
14:35,25516,26624,26686
14:40,25516,26624,26724
14:45,25516,26624,26719
14:50,25516,26668,26712
14:55,25516,26668,26744
15:00,25516,26668,26751
15:05,25762,26793,26740
15:10,25762,26793,26766
15:15,25762,26793,26775
15:20,25762,26926,26796
15:25,25762,26926,26865
15:30,25762,26926,26901
15:35,25762,27019,26890
15:40,25762,27019,26966
15:45,25762,27019,26981
15:50,25762,27195,27079
15:55,25762,27195,27094
16:00,25762,27195,27144
16:05,26864,27406,27229
16:10,26864,27406,27302
16:15,26864,27406,27399
16:20,26864,27842,27543
16:25,26864,27842,27689
16:30,26864,27842,27874
16:35,26864,28393,28053
16:40,26864,28393,28243
16:45,26864,28393,28488
16:50,26864,29276,28781
16:55,26864,29276,29065
17:00,26864,29276,29280
17:05,29334,29942,29473
17:10,29334,29942,29598
17:15,29334,29942,29723
17:20,29334,30402,29812
17:25,29334,30402,29898
17:30,29334,30402,29948
17:35,29334,30114,30029
17:40,29334,30114,30011
17:45,29334,30114,30030
17:50,29334,30105,30070
17:55,29334,30105,30083
18:00,29334,30105,30079
18:05,29463,29950,30023
18:10,29463,29950,29983
18:15,29463,29950,29965
18:20,29463,29866,29979
18:25,29463,29866,29950
18:30,29463,29866,29918
18:35,29463,29848,29856
18:40,29463,29848,29843
18:45,29463,29848,29829
18:50,29463,29787,29817
18:55,29463,29787,29760
19:00,29463,29787,29692
19:05,28988,29596,29637
19:10,28988,29596,29595
19:15,28988,29596,29544
19:20,28988,29454,29482
19:25,28988,29454,29448
19:30,28988,29454,29383
19:35,28988,29293,29359
19:40,28988,29293,29305
19:45,28988,29293,29269
19:50,28988,29121,29215
19:55,28988,29121,29175
20:00,28988,29121,29066
20:05,28130,28915,29022
20:10,28130,28915,28981
20:15,28130,28915,28913
20:20,28130,28683,28777
20:25,28130,28683,28749
20:30,28130,28683,28674
20:35,28130,28473,28596
20:40,28130,28473,28476
20:45,28130,28473,28420
20:50,28130,28137,28214
20:55,28130,28137,28098
21:00,28130,28137,27959
21:05,26611,27653,27771
21:10,26611,27653,27682
21:15,26611,27653,27610
21:20,26611,27276,27462
21:25,26611,27276,27328
21:30,26611,27276,27142
21:35,26611,26891,27009
21:40,26611,26891,26851
21:45,26611,26891,26722
21:50,26611,26414,26530
21:55,26611,26414,26318
22:00,26611,26414,26111
22:05,24636,25708,25888
22:10,24636,25708,25691
22:15,24636,25708,25549
22:20,24636,25242,25374
22:25,24636,25242,25149
22:30,24636,25242,24993
22:35,24636,24741,24805
22:40,24636,24741,24581
22:45,24636,24741,24455
22:50,24636,24115,24205
22:55,24636,24115,23996
23:00,24636,24115,23818
23:05,22686,23463,23600
23:10,22686,23463,23455
23:15,22686,23463,23256
23:20,22686,23069,23050
23:25,22686,23069,22954
23:30,22686,23069,22859
23:35,22686,22666,22710
23:40,22686,22666,22570
23:45,22686,22666,22426
23:50,22686,22240,22253
23:55,22686,22240,22121
00:00,22686,22240,
