Date,Energy [MWh],Min load [MW],Max load [MW]
2018-12-01,88.88432499999998,2962.969,4423.71
2018-12-02,76.139188125,2389.766,4046.01
2018-12-03,104.3017385,2586.326,5661.64
2018-12-04,106.74600000000002,2996.729,5578.134
2018-12-05,107.71316800000001,3119.99,5624.975
2018-12-06,106.82859549999999,2882.113,5731.724
2018-12-07,106.24303987500001,3012.996,5669.32
2018-12-08,88.027032875,3001.881,4471.019
2018-12-09,78.178427125,2562.606,4076.753
2018-12-10,102.09058437499999,2452.853,5572.322
2018-12-11,105.623368125,2867.968,5722.611
2018-12-12,105.71072962500001,2830.225,5838.83
2018-12-13,107.97626475000001,2878.291,5761.853
2018-12-14,108.6313495,2961.36,5821.579
2018-12-15,93.22366949999999,2903.616,4989.455
2018-12-16,79.996896125,2601.597,4352.967
2018-12-17,115.36091875,2838.99,6563.561
2018-12-18,114.03482350000002,3172.181,6017.537
2018-12-19,111.42187950000002,3081.874,5932.337
2018-12-20,108.43307500000003,2947.399,5749.946
2018-12-21,100.53969875,2802.617,5538.69
2018-12-22,80.6362975,2582.418,4120.134
2018-12-23,76.839888875,2448.888,3856.619
2018-12-24,72.15460475,2296.307,3751.651
2018-12-25,65.4631325,2169.448,3439.578
2018-12-26,67.277136125,2183.394,3462.159
2018-12-27,78.78538037500002,1910.7,4347.608
2018-12-28,81.13839174999998,2282.06,4339.373
2018-12-29,73.16678549999999,2226.074,3959.268
2018-12-30,66.359086625,2076.654,3683.962
2018-12-31,74.15961337499999,2226.005,3900.765
