Date,Energy [MWh],Min load [MW],Max load [MW]
2018-09-01,108.61333362500001,3341.955,5645.515
2018-09-02,100.74527537499999,3336.628,5343.224
2018-09-03,126.09081950000001,3075.344,6869.857
2018-09-04,131.7765705,3662.092,6889.353
2018-09-05,133.68682262499996,3766.275,6841.276
2018-09-06,136.59030675,3846.077,7128.983
2018-09-07,136.22774412500002,3990.721,7036.612
2018-09-08,117.12794837499999,3788.888,6022.208
2018-09-09,104.52511625000002,3327.123,5452.824
2018-09-10,132.6414745,3387.073,7051.913
2018-09-11,133.160607875,3711.42,6979.528
2018-09-12,135.88789012499998,3581.254,7523.161
2018-09-13,132.402389625,3908.543,6820.693
2018-09-14,134.5156935,3777.901,7072.601
2018-09-15,118.21882699999999,3598.974,6119.109
2018-09-16,105.37894787500001,3458.495,5561.644
2018-09-17,131.21167800000003,3393.947,6989.978
2018-09-18,137.49669812500002,3838.129,7229.651
2018-09-19,132.558461625,3925.727,6952.089
2018-09-20,133.527774,3786.323,7026.081
2018-09-21,134.009818125,3937.555,6828.649
2018-09-22,119.61355474999998,3736.611,6170.283
2018-09-23,104.86074424999998,3403.287,5423.752
2018-09-24,130.234560875,3210.747,7306.234
2018-09-25,124.29772925,3518.734,6434.579
2018-09-26,131.202002875,3790.98,6724.733
2018-09-27,120.037021,3355.646,6363.036
2018-09-28,124.60201374999998,3402.577,6738.648
2018-09-29,116.87418412500001,3762.541,5940.89
2018-09-30,105.79582874999998,3400.521,5571.992
