Date,Energy [MWh],Min load [MW],Max load [MW]
2018-09-01,406.18284075,14515.37,19729.203
2018-09-02,340.71380675000006,12178.406,17901.608
2018-09-03,498.8973926249999,12519.133,26343.527
2018-09-04,544.0663585,16289.67,27733.036
2018-09-05,564.7274011250001,16428.073,29068.781
2018-09-06,571.2751329999999,16986.991,29673.345
2018-09-07,553.4041295000001,16675.049,29398.029
2018-09-08,421.312143125,15183.79,20501.934
2018-09-09,365.36937499999993,12777.714,18558.357
2018-09-10,517.4748334999999,12699.386,27946.493
2018-09-11,558.505315375,16230.383,29315.117
2018-09-12,573.4066738749999,16779.695,29916.379
2018-09-13,570.456731125,17119.741,29434.587
2018-09-14,563.6278483750001,16613.027,29136.321
2018-09-15,443.3066985,16038.076,21449.916
2018-09-16,364.913937,13083.329,18813.307
2018-09-17,531.048521125,13116.787,28915.38
2018-09-18,563.335816875,16313.195,29584.369
2018-09-19,559.0940702499998,16174.252,28907.95
2018-09-20,561.5703919999999,16956.578,28908.832
2018-09-21,556.9772493750003,16971.901,28316.951
2018-09-22,442.5197815,15526.309,21629.672
2018-09-23,378.07085500000005,13068.853,19728.109
2018-09-24,526.881612375,13358.11,27934.83
2018-09-25,546.4438446249999,16243.367,28008.95
2018-09-26,534.283123625,16027.963,27483.917
2018-09-27,538.3164859999999,15652.779,27287.732
2018-09-28,529.258637875,15535.804,27292.531
2018-09-29,421.86098150000004,14797.967,21302.537
2018-09-30,351.65155924999993,12246.358,18563.078
