Date,Energy [MWh],Min load [MW],Max load [MW]
2019-06-01,22.41888525,826.017,1073.046
2019-06-02,21.108707125000006,782.378,1083.416
2019-06-03,26.266396250000003,949.661,1247.517
2019-06-04,27.315022375,994.088,1297.023
2019-06-05,26.239239375,1023.065,1262.594
2019-06-06,23.761114499999998,855.954,1179.494
2019-06-07,24.10180575,844.797,1195.953
2019-06-08,23.577162125,859.966,1172.201
2019-06-09,24.42316825,883.473,1191.375
2019-06-10,24.036870750000002,860.75,1200.352
2019-06-11,24.471423875000003,871.659,1213.048
2019-06-12,28.12199262499999,1018.723,1367.797
2019-06-13,27.42621375,966.386,1337.267
2019-06-14,25.245849749999998,874.064,1278.548
2019-06-15,24.918923375000002,899.974,1210.319
2019-06-16,26.342180874999997,952.672,1252.92
2019-06-17,25.629457125,883.011,1224.083
2019-06-18,24.414794124999997,888.273,1200.921
2019-06-19,27.170919625,938.231,1281.74
2019-06-20,26.830898250000008,926.807,1439.295
2019-06-21,29.236930875,973.077,1443.704
2019-06-22,27.582874375000003,972.836,1324.078
2019-06-23,23.877499999999998,900.759,1177.371
2019-06-24,28.862679749999998,990.652,1373.802
2019-06-25,26.865207625,924.302,1334.174
2019-06-26,27.716259125,961.195,1368.163
2019-06-27,28.368920124999995,981.578,1394.792
2019-06-28,28.373883,980.039,1385.235
2019-06-29,27.760966625,992.052,1374.7
2019-06-30,28.247596,1038.073,1362.614
