Date,Energy [MWh],Min load [MW],Max load [MW]
2019-04-01,74.06783549999999,2240.981,4159.603
2019-04-02,78.04625612499999,2540.986,4277.136
2019-04-03,78.83560625,2454.159,4201.332
2019-04-04,80.794650125,2604.634,4435.306
2019-04-05,78.22651024999999,2422.892,4232.311
2019-04-06,72.731660875,2409.486,3918.593
2019-04-07,66.35451062499999,2167.49,3542.58
2019-04-08,76.07043100000003,2235.054,4198.005
2019-04-09,79.69703925000002,2340.051,4254.617
2019-04-10,75.93544374999999,2362.662,4140.545
2019-04-11,76.74124674999999,2460.242,3945.446
2019-04-12,74.51864962499998,2362.949,3891.272
2019-04-13,72.137849125,2315.344,3784.098
2019-04-14,61.839622625000004,2076.163,3380.46
2019-04-15,76.85842462500001,2194.074,4219.341
2019-04-16,74.4087025,2495.689,3995.222
2019-04-17,73.77044824999999,2244.764,3907.156
2019-04-18,72.43763225,2358.877,3899.591
2019-04-19,71.68508925,2467.502,3812.641
2019-04-20,64.96205950000001,2319.416,3693.876
2019-04-21,60.218062499999995,2009.341,3310.06
2019-04-22,60.115109249999996,2072.138,3253.42
2019-04-23,71.562899625,2305.774,4074.792
2019-04-24,73.25862474999998,2360.501,3932.899
2019-04-25,63.6771075,2314.205,3418.55
2019-04-26,69.68758162499999,2089.483,3846.349
2019-04-27,67.6457215,2402.168,3577.28
2019-04-28,63.5711295,2224.984,3424.679
2019-04-29,73.67819525,2169.244,4189.23
2019-04-30,70.903623625,2309.685,3785.19
