Date,Total Load [MW],Forecast Total load [MW],Bidding zone
2018-07-01 00:00:00,17194.08,16379.914,North
2018-07-01 00:15:00,15878.734,16207.427,North
2018-07-01 00:30:00,15676.338,16054.781,North
2018-07-01 00:45:00,15251.703,15648.854,North
2018-07-01 01:00:00,15002.651,15266.28,North
2018-07-01 01:15:00,14744.872,15027.254,North
2018-07-01 01:30:00,14532.853,14753.44,North
2018-07-01 01:45:00,14287.297,14500.3,North
2018-07-01 02:00:00,14122.726,14326.608,North
2018-07-01 02:15:00,13981.127,14229.989,North
2018-07-01 02:30:00,13921.351,14152.119,North
2018-07-01 02:45:00,13872.032,14051.526,North
2018-07-01 03:00:00,13827.233,13945.966,North
2018-07-01 03:15:00,13745.955,13904.261,North
2018-07-01 03:30:00,13699.13,13822.002,North
2018-07-01 03:45:00,13587.508,13713.178,North
2018-07-01 04:00:00,13605.829,13756.338,North
2018-07-01 04:15:00,13509.087,13700.922,North
2018-07-01 04:30:00,13608.099,13650.612,North
2018-07-01 04:45:00,13559.1,13616.452,North
2018-07-01 05:00:00,13578.73,13540.484,North
2018-07-01 05:15:00,13396.923,13416.01,North
2018-07-01 05:30:00,13027.498,13351.241,North
2018-07-01 05:45:00,12705.871,13178.747,North
2018-07-01 06:00:00,12950.343,13027.874,North
2018-07-01 06:15:00,13123.839,13079.147,North
2018-07-01 06:30:00,13138.963,12996.983,North
2018-07-01 06:45:00,13289.69,13014.952,North
2018-07-01 07:00:00,13587.165,13170.866,North
2018-07-01 07:15:00,13653.016,13368.533,North
2018-07-01 07:30:00,13717.936,13551.056,North
2018-07-01 07:45:00,14039.173,13757.704,North
2018-07-01 08:00:00,14315.744,14017.588,North
2018-07-01 08:15:00,14389.417,13974.368,North
2018-07-01 08:30:00,14687.399,14178.656,North
2018-07-01 08:45:00,14972.978,14379.564,North
2018-07-01 09:00:00,15250.364,14705.051,North
2018-07-01 09:15:00,15463.169,14871.187,North
2018-07-01 09:30:00,15634.903,15115.555,North
2018-07-01 09:45:00,15810.572,15294.481,North
2018-07-01 10:00:00,16133.591,15531.831,North
2018-07-01 10:15:00,16461.212,15770.247,North
2018-07-01 10:30:00,16561.682,15981.835,North
2018-07-01 10:45:00,16736.696,16144.017,North
2018-07-01 11:00:00,16828.349,16380.667,North
2018-07-01 11:15:00,16788.837,16543.168,North
2018-07-01 11:30:00,16847.942,16590.563,North
2018-07-01 11:45:00,16976.94,16826.574,North
2018-07-01 12:00:00,16966.259,16974.792,North
2018-07-01 12:15:00,16776.131,17065.843,North
2018-07-01 12:30:00,16705.721,16846.594,North
2018-07-01 12:45:00,17017.841,17138.214,North
2018-07-01 13:00:00,16874.964,17204.153,North
2018-07-01 13:15:00,16737.733,17000.167,North
2018-07-01 13:30:00,16761.321,17024.062,North
2018-07-01 13:45:00,16821.745,17055.238,North
2018-07-01 14:00:00,16652.641,16896.099,North
2018-07-01 14:15:00,16419.666,16868.364,North
2018-07-01 14:30:00,16357.394,16533.011,North
2018-07-01 14:45:00,16537.998,16653.069,North
2018-07-01 15:00:00,16710.857,16643.541,North
2018-07-01 15:15:00,16668.033,16733.632,North
2018-07-01 15:30:00,16723.091,16584.88,North
2018-07-01 15:45:00,16684.323,16716.867,North
2018-07-01 16:00:00,16755.484,16533.358,North
2018-07-01 16:15:00,16969.796,16726.742,North
2018-07-01 16:30:00,17102.916,16803.075,North
2018-07-01 16:45:00,17114.383,16831.689,North
2018-07-01 17:00:00,17225.909,16771.388,North
2018-07-01 17:15:00,17230.06,16844.949,North
2018-07-01 17:30:00,17237.982,16916.969,North
2018-07-01 17:45:00,17111.397,16867.064,North
2018-07-01 18:00:00,17398.713,16883.065,North
2018-07-01 18:15:00,17460.599,17150.02,North
2018-07-01 18:30:00,17293.48,17097.012,North
2018-07-01 18:45:00,17501.922,17205.478,North
2018-07-01 19:00:00,17851.818,17514.96,North
2018-07-01 19:15:00,17912.143,17757.306,North
2018-07-01 19:30:00,17971.876,17857.79,North
2018-07-01 19:45:00,18084.617,18007.335,North
2018-07-01 20:00:00,18061.208,18084.277,North
2018-07-01 20:15:00,17855.601,18044.71,North
2018-07-01 20:30:00,17763.122,18001.638,North
2018-07-01 20:45:00,17759.318,18018.086,North
2018-07-01 21:00:00,17955.76,18133.097,North
2018-07-01 21:15:00,18301.837,18401.099,North
2018-07-01 21:30:00,18486.351,18648.429,North
2018-07-01 21:45:00,18581.55,18825.877,North
2018-07-01 22:00:00,18561.146,18911.448,North
2018-07-01 22:15:00,18356.095,18726.865,North
2018-07-01 22:30:00,18017.662,18505.803,North
2018-07-01 22:45:00,17665.428,18169.449,North
2018-07-01 23:00:00,17350.315,17798.507,North
2018-07-01 23:15:00,17002.841,17392.665,North
2018-07-01 23:30:00,16666.167,17007.289,North
2018-07-01 23:45:00,16359.458,16703.321,North
2018-07-02 00:00:00,15675.166,16068.221,North
2018-07-02 00:15:00,15424.063,15943.885,North
