Date,Total Load [MW],Forecast Total load [MW],Bidding zone
2018-07-01 00:00:00,3312.828,3155.96,Centre-Nord
2018-07-01 00:15:00,3214.059,3280.59,Centre-Nord
2018-07-01 00:30:00,3130.712,3206.291,Centre-Nord
2018-07-01 00:45:00,3052.236,3131.716,Centre-Nord
2018-07-01 01:00:00,2978.346,3030.682,Centre-Nord
2018-07-01 01:15:00,2908.905,2964.614,Centre-Nord
2018-07-01 01:30:00,2892.508,2936.412,Centre-Nord
2018-07-01 01:45:00,2875.993,2918.869,Centre-Nord
2018-07-01 02:00:00,2842.799,2883.839,Centre-Nord
2018-07-01 02:15:00,2752.699,2801.696,Centre-Nord
2018-07-01 02:30:00,2759.499,2805.242,Centre-Nord
2018-07-01 02:45:00,2703.465,2738.446,Centre-Nord
2018-07-01 03:00:00,2677.751,2700.745,Centre-Nord
2018-07-01 03:15:00,2628.098,2658.364,Centre-Nord
2018-07-01 03:30:00,2646.035,2669.768,Centre-Nord
2018-07-01 03:45:00,2661.113,2685.725,Centre-Nord
2018-07-01 04:00:00,2605.636,2634.46,Centre-Nord
2018-07-01 04:15:00,2589.746,2626.522,Centre-Nord
2018-07-01 04:30:00,2616.535,2624.709,Centre-Nord
2018-07-01 04:45:00,2626.113,2637.221,Centre-Nord
2018-07-01 05:00:00,2653.763,2646.288,Centre-Nord
2018-07-01 05:15:00,2589.723,2593.413,Centre-Nord
2018-07-01 05:30:00,2508.325,2570.658,Centre-Nord
2018-07-01 05:45:00,2461.957,2553.584,Centre-Nord
2018-07-01 06:00:00,2446.013,2460.657,Centre-Nord
2018-07-01 06:15:00,2431.672,2423.391,Centre-Nord
2018-07-01 06:30:00,2449.858,2423.385,Centre-Nord
2018-07-01 06:45:00,2525.488,2473.279,Centre-Nord
2018-07-01 07:00:00,2606.022,2526.176,Centre-Nord
2018-07-01 07:15:00,2644.242,2589.145,Centre-Nord
2018-07-01 07:30:00,2674.34,2641.806,Centre-Nord
2018-07-01 07:45:00,2748.329,2693.228,Centre-Nord
2018-07-01 08:00:00,2816.079,2757.428,Centre-Nord
2018-07-01 08:15:00,2959.127,2873.774,Centre-Nord
2018-07-01 08:30:00,3061.825,2955.77,Centre-Nord
2018-07-01 08:45:00,3133.529,3009.34,Centre-Nord
2018-07-01 09:00:00,3133.052,3021.022,Centre-Nord
2018-07-01 09:15:00,3284.898,3159.141,Centre-Nord
2018-07-01 09:30:00,3309.597,3199.661,Centre-Nord
2018-07-01 09:45:00,3365.545,3255.687,Centre-Nord
2018-07-01 10:00:00,3398.54,3271.779,Centre-Nord
2018-07-01 10:15:00,3414.508,3271.183,Centre-Nord
2018-07-01 10:30:00,3435.411,3315.133,Centre-Nord
2018-07-01 10:45:00,3439.275,3317.483,Centre-Nord
2018-07-01 11:00:00,3428.77,3337.555,Centre-Nord
2018-07-01 11:15:00,3387.939,3338.364,Centre-Nord
2018-07-01 11:30:00,3424.031,3371.724,Centre-Nord
2018-07-01 11:45:00,3403.27,3373.127,Centre-Nord
2018-07-01 12:00:00,3406.091,3407.804,Centre-Nord
2018-07-01 12:15:00,3359.508,3417.524,Centre-Nord
2018-07-01 12:30:00,3470.156,3499.419,Centre-Nord
2018-07-01 12:45:00,3420.961,3445.158,Centre-Nord
2018-07-01 13:00:00,3302.436,3366.859,Centre-Nord
2018-07-01 13:15:00,3319.263,3371.306,Centre-Nord
2018-07-01 13:30:00,3323.428,3375.524,Centre-Nord
2018-07-01 13:45:00,3310.891,3356.847,Centre-Nord
2018-07-01 14:00:00,3334.705,3383.457,Centre-Nord
2018-07-01 14:15:00,3305.22,3395.542,Centre-Nord
2018-07-01 14:30:00,3392.151,3428.57,Centre-Nord
2018-07-01 14:45:00,3352.743,3376.072,Centre-Nord
2018-07-01 15:00:00,3443.639,3429.767,Centre-Nord
2018-07-01 15:15:00,3322.495,3335.571,Centre-Nord
2018-07-01 15:30:00,3429.791,3401.445,Centre-Nord
2018-07-01 15:45:00,3371.072,3377.648,Centre-Nord
2018-07-01 16:00:00,3510.65,3464.11,Centre-Nord
2018-07-01 16:15:00,3465.954,3416.312,Centre-Nord
2018-07-01 16:30:00,3450.32,3389.831,Centre-Nord
2018-07-01 16:45:00,3489.802,3432.158,Centre-Nord
2018-07-01 17:00:00,3580.855,3486.371,Centre-Nord
2018-07-01 17:15:00,3534.572,3455.57,Centre-Nord
2018-07-01 17:30:00,3529.897,3464.161,Centre-Nord
2018-07-01 17:45:00,3564.236,3513.343,Centre-Nord
2018-07-01 18:00:00,3604.786,3497.95,Centre-Nord
2018-07-01 18:15:00,3547.078,3483.985,Centre-Nord
2018-07-01 18:30:00,3622.131,3580.98,Centre-Nord
2018-07-01 18:45:00,3717.145,3654.185,Centre-Nord
2018-07-01 19:00:00,3758.8,3687.873,Centre-Nord
2018-07-01 19:15:00,3743.045,3710.689,Centre-Nord
2018-07-01 19:30:00,3735.05,3711.34,Centre-Nord
2018-07-01 19:45:00,3764.776,3748.688,Centre-Nord
2018-07-01 20:00:00,3757.772,3762.571,Centre-Nord
2018-07-01 20:15:00,3662.449,3701.238,Centre-Nord
2018-07-01 20:30:00,3658.455,3707.579,Centre-Nord
2018-07-01 20:45:00,3682.8,3736.462,Centre-Nord
2018-07-01 21:00:00,3695.862,3732.363,Centre-Nord
2018-07-01 21:15:00,3753.692,3774.05,Centre-Nord
2018-07-01 21:30:00,3864.338,3898.218,Centre-Nord
2018-07-01 21:45:00,3846.002,3896.572,Centre-Nord
2018-07-01 22:00:00,3735.345,3805.841,Centre-Nord
2018-07-01 22:15:00,3744.24,3819.869,Centre-Nord
2018-07-01 22:30:00,3660.631,3759.806,Centre-Nord
