Date,Total Load [MW],Forecast Total load [MW],Bidding zone
2019-05-01 00:00:00,3092.358,3291.238,Centre-Nord
2019-05-01 00:15:00,2963.568,3115.233,Centre-Nord
2019-05-01 00:30:00,2942.522,3093.688,Centre-Nord
2019-05-01 00:45:00,2847.316,3004.463,Centre-Nord
2019-05-01 01:00:00,2793.022,2937.504,Centre-Nord
2019-05-01 01:15:00,2750.959,2866.34,Centre-Nord
2019-05-01 01:30:00,2714.189,2830.799,Centre-Nord
2019-05-01 01:45:00,2667.198,2770.267,Centre-Nord
2019-05-01 02:00:00,2643.724,2734.829,Centre-Nord
2019-05-01 02:15:00,2574.536,2657.758,Centre-Nord
2019-05-01 02:30:00,2555.297,2625.335,Centre-Nord
2019-05-01 02:45:00,2509.006,2564.82,Centre-Nord
2019-05-01 03:00:00,2483.906,2537.656,Centre-Nord
2019-05-01 03:15:00,2484.998,2523.538,Centre-Nord
2019-05-01 03:30:00,2444.949,2489.397,Centre-Nord
2019-05-01 03:45:00,2407.369,2443.229,Centre-Nord
2019-05-01 04:00:00,2450.293,2474.547,Centre-Nord
2019-05-01 04:15:00,2470.385,2506.13,Centre-Nord
2019-05-01 04:30:00,2470.579,2496.859,Centre-Nord
2019-05-01 04:45:00,2404.629,2445.352,Centre-Nord
2019-05-01 05:00:00,2460.694,2471.966,Centre-Nord
2019-05-01 05:15:00,2422.941,2425.015,Centre-Nord
2019-05-01 05:30:00,2404.624,2403.858,Centre-Nord
2019-05-01 05:45:00,2331.487,2348.547,Centre-Nord
2019-05-01 06:00:00,2287.874,2331.265,Centre-Nord
2019-05-01 06:15:00,2284.898,2329.96,Centre-Nord
2019-05-01 06:30:00,2347.651,2361.795,Centre-Nord
2019-05-01 06:45:00,2359.423,2349.456,Centre-Nord
2019-05-01 07:00:00,2448.406,2410.722,Centre-Nord
2019-05-01 07:15:00,2481.219,2439.466,Centre-Nord
2019-05-01 07:30:00,2602.47,2558.663,Centre-Nord
2019-05-01 07:45:00,2719.02,2687.253,Centre-Nord
2019-05-01 08:00:00,2763.758,2767.106,Centre-Nord
2019-05-01 08:15:00,2787.952,2814.943,Centre-Nord
2019-05-01 08:30:00,2872.188,2905.684,Centre-Nord
2019-05-01 08:45:00,2879.111,2917.772,Centre-Nord
2019-05-01 09:00:00,2902.319,2927.245,Centre-Nord
2019-05-01 09:15:00,2964.097,2975.641,Centre-Nord
2019-05-01 09:30:00,2982.805,2943.513,Centre-Nord
2019-05-01 09:45:00,3045.705,2992.486,Centre-Nord
2019-05-01 10:00:00,3137.423,3110.605,Centre-Nord
2019-05-01 10:15:00,3129.287,3123.748,Centre-Nord
2019-05-01 10:30:00,3144.155,3161.516,Centre-Nord
2019-05-01 10:45:00,3147.78,3236.561,Centre-Nord
2019-05-01 11:00:00,3181.438,3253.273,Centre-Nord
2019-05-01 11:15:00,3371.231,3421.949,Centre-Nord
2019-05-01 11:30:00,3343.479,3392.268,Centre-Nord
2019-05-01 11:45:00,3284.939,3235.614,Centre-Nord
2019-05-01 12:00:00,3171.079,3129.994,Centre-Nord
2019-05-01 12:15:00,2980.826,2959.662,Centre-Nord
2019-05-01 12:30:00,2951.269,2888.564,Centre-Nord
2019-05-01 12:45:00,3117.583,3029.757,Centre-Nord
2019-05-01 13:00:00,3016.336,2956.86,Centre-Nord
2019-05-01 13:15:00,3035.51,3012.341,Centre-Nord
2019-05-01 13:30:00,2931.078,2896.369,Centre-Nord
2019-05-01 13:45:00,2850.806,2845.759,Centre-Nord
2019-05-01 14:00:00,2658.979,2727.514,Centre-Nord
2019-05-01 14:15:00,2524.289,2608.847,Centre-Nord
2019-05-01 14:30:00,2545.83,2538.625,Centre-Nord
2019-05-01 14:45:00,2629.106,2620.113,Centre-Nord
2019-05-01 15:00:00,2770.432,2797.202,Centre-Nord
2019-05-01 15:15:00,2773.33,2825.862,Centre-Nord
2019-05-01 15:30:00,2604.748,2714.84,Centre-Nord
2019-05-01 15:45:00,2382.402,2522.388,Centre-Nord
2019-05-01 16:00:00,2249.905,2347.735,Centre-Nord
2019-05-01 16:15:00,2132.809,2188.471,Centre-Nord
2019-05-01 16:30:00,2085.607,2164.236,Centre-Nord
2019-05-01 16:45:00,2193.676,2221.815,Centre-Nord
2019-05-01 17:00:00,2315.534,2297.81,Centre-Nord
2019-05-01 17:15:00,2500.105,2484.401,Centre-Nord
2019-05-01 17:30:00,2530.653,2516.484,Centre-Nord
2019-05-01 17:45:00,2551,2552.356,Centre-Nord
2019-05-01 18:00:00,2554.03,2550.719,Centre-Nord
2019-05-01 18:15:00,2617.525,2612.271,Centre-Nord
2019-05-01 18:30:00,2736.044,2704.194,Centre-Nord
2019-05-01 18:45:00,2781.232,2717.143,Centre-Nord
2019-05-01 19:00:00,2853.578,2789.423,Centre-Nord
2019-05-01 19:15:00,2909.682,2869.637,Centre-Nord
2019-05-01 19:30:00,3025.269,2982.094,Centre-Nord
2019-05-01 19:45:00,3091.691,3055.971,Centre-Nord
2019-05-01 20:00:00,3182.394,3172.73,Centre-Nord
2019-05-01 20:15:00,3211.947,3230.16,Centre-Nord
2019-05-01 20:30:00,3419.228,3401.546,Centre-Nord
2019-05-01 20:45:00,3455.245,3418.525,Centre-Nord
2019-05-01 21:00:00,3487.005,3473.932,Centre-Nord
2019-05-01 21:15:00,3400.654,3422.963,Centre-Nord
2019-05-01 21:30:00,3396.576,3442.051,Centre-Nord
2019-05-01 21:45:00,3305.651,3372.745,Centre-Nord
2019-05-01 22:00:00,3303.252,3364.219,Centre-Nord
2019-05-01 22:15:00,3200.45,3248.796,Centre-Nord
2019-05-01 22:30:00,3132.21,3195.638,Centre-Nord
2019-05-01 22:45:00,2994.349,3093.456,Centre-Nord
2019-05-01 23:00:00,2982.859,3043.328,Centre-Nord
2019-05-01 23:15:00,2886.986,2933.955,Centre-Nord
2019-05-01 23:30:00,2804.192,2885.506,Centre-Nord
2019-05-01 23:45:00,2701.992,2758.665,Centre-Nord
2019-05-02 00:00:00,2783.629,2664.754,Centre-Nord
2019-05-02 00:15:00,2395.213,2364.626,Centre-Nord
2019-05-02 00:30:00,2359.948,2314.278,Centre-Nord
2019-05-02 00:45:00,2318.941,2286.945,Centre-Nord
2019-05-02 01:00:00,2274.29,2246.142,Centre-Nord
2019-05-02 01:15:00,2215.363,2195.334,Centre-Nord
2019-05-02 01:30:00,2177.998,2164.999,Centre-Nord
2019-05-02 01:45:00,2155.616,2135.987,Centre-Nord
2019-05-02 02:00:00,2141.756,2132.722,Centre-Nord
2019-05-02 02:15:00,2094.457,2091.149,Centre-Nord
2019-05-02 02:30:00,2074.368,2083.603,Centre-Nord
2019-05-02 02:45:00,2066.541,2067.34,Centre-Nord
2019-05-02 03:00:00,2081.412,2073.896,Centre-Nord
2019-05-02 03:15:00,2085.508,2084.1,Centre-Nord
2019-05-02 03:30:00,2111.434,2110.521,Centre-Nord
2019-05-02 03:45:00,2077.012,2079.098,Centre-Nord
2019-05-02 04:00:00,2129.927,2124.788,Centre-Nord
2019-05-02 04:15:00,2130.529,2123.55,Centre-Nord
2019-05-02 04:30:00,2177.331,2181.881,Centre-Nord
2019-05-02 04:45:00,2204.971,2195.763,Centre-Nord
2019-05-02 05:00:00,2323.678,2281.401,Centre-Nord
2019-05-02 05:15:00,2465.298,2406.954,Centre-Nord
2019-05-02 05:30:00,2565.24,2509.479,Centre-Nord
2019-05-02 05:45:00,2605.345,2571.93,Centre-Nord
2019-05-02 06:00:00,2791.079,2756.775,Centre-Nord
2019-05-02 06:15:00,2861.969,2828.408,Centre-Nord
2019-05-02 06:30:00,3106.109,3071.473,Centre-Nord
2019-05-02 06:45:00,3151.24,3117.9,Centre-Nord
2019-05-02 07:00:00,3423.002,3388.64,Centre-Nord
2019-05-02 07:15:00,3557.631,3523.671,Centre-Nord
2019-05-02 07:30:00,3872.819,3837.527,Centre-Nord
2019-05-02 07:45:00,4049.076,4013.671,Centre-Nord
2019-05-02 08:00:00,4271.505,4235.481,Centre-Nord
2019-05-02 08:15:00,4393.726,4357.803,Centre-Nord
2019-05-02 08:30:00,4586.626,4550.088,Centre-Nord
2019-05-02 08:45:00,4682.274,4645.75,Centre-Nord
2019-05-02 09:00:00,4806.476,4769.591,Centre-Nord
2019-05-02 09:15:00,4857.287,4784.405,Centre-Nord
2019-05-02 09:30:00,4924.344,4909.458,Centre-Nord
2019-05-02 09:45:00,4896.756,4885.461,Centre-Nord
2019-05-02 10:00:00,4996.178,4993.825,Centre-Nord
2019-05-02 10:15:00,4976.344,4959.86,Centre-Nord
2019-05-02 10:30:00,4951.852,4958.169,Centre-Nord
2019-05-02 10:45:00,4968.881,4956.709,Centre-Nord
2019-05-02 11:00:00,4935.124,4929.3,Centre-Nord
2019-05-02 11:15:00,4915.324,4893.311,Centre-Nord
2019-05-02 11:30:00,4994.36,4936.307,Centre-Nord
2019-05-02 11:45:00,4865.445,4861.032,Centre-Nord
2019-05-02 12:00:00,4778.892,4868.232,Centre-Nord
2019-05-02 12:15:00,4701.662,4795.033,Centre-Nord
2019-05-02 12:30:00,4592.586,4698.014,Centre-Nord
2019-05-02 12:45:00,4505.834,4631.151,Centre-Nord
2019-05-02 13:00:00,4469.909,4564.112,Centre-Nord
2019-05-02 13:15:00,4536.758,4600.789,Centre-Nord
2019-05-02 13:30:00,4569.045,4599.048,Centre-Nord
2019-05-02 13:45:00,4599.647,4627.885,Centre-Nord
2019-05-02 14:00:00,4699.877,4693.529,Centre-Nord
2019-05-02 14:15:00,4676.372,4689.422,Centre-Nord
2019-05-02 14:30:00,4748.185,4767.057,Centre-Nord
2019-05-02 14:45:00,4754.734,4754.508,Centre-Nord
2019-05-02 15:00:00,4924.158,4938.659,Centre-Nord
2019-05-02 15:15:00,4839.429,4890.515,Centre-Nord
2019-05-02 15:30:00,4860.177,4940.514,Centre-Nord
2019-05-02 15:45:00,4871.459,4946.914,Centre-Nord
2019-05-02 16:00:00,4795.053,4903.706,Centre-Nord
2019-05-02 16:15:00,4759.514,4896.63,Centre-Nord
2019-05-02 16:30:00,4648.434,4782.594,Centre-Nord
2019-05-02 16:45:00,4860.811,4947.332,Centre-Nord
2019-05-02 17:00:00,4739.358,4857.836,Centre-Nord
