Date,Total Load [MW],Forecast Total load [MW],Bidding zone
2019-02-01 00:00:00,32333.0,33364.998,9
2019-02-01 00:15:00,31182.0,33021.0,9
2019-02-01 00:30:00,30910.001,32492.999999999996,9
2019-02-01 00:45:00,30360.998999999996,31965.000999999997,9
2019-02-01 01:00:00,29743.998999999996,31446.001000000004,9
2019-02-01 01:15:00,29346.000000000004,30945.0,9
2019-02-01 01:30:00,28928.001,30473.0,9
2019-02-01 01:45:00,28598.0,30038.0,9
2019-02-01 02:00:00,28302.001000000004,29654.0,9
2019-02-01 02:15:00,28099.001,29331.0,9
2019-02-01 02:30:00,27951.999000000003,29084.0,9
2019-02-01 02:45:00,27972.001,28917.001,9
2019-02-01 03:00:00,27853.001,28808.999000000003,9
2019-02-01 03:15:00,27724.001,28732.001,9
2019-02-01 03:30:00,27660.999,28657.0,9
2019-02-01 03:45:00,27802.001,28568.001,9
2019-02-01 04:00:00,27770.0,28493.0,9
2019-02-01 04:15:00,27784.999000000003,28472.0,9
2019-02-01 04:30:00,28166.001,28547.001,9
2019-02-01 04:45:00,28409.0,28755.0,9
2019-02-01 05:00:00,29159.000000000004,29123.000999999997,9
2019-02-01 05:15:00,29725.000999999997,29676.001,9
2019-02-01 05:30:00,30676.000000000004,30439.0,9
2019-02-01 05:45:00,31480.999,31431.0,9
2019-02-01 06:00:00,32700.0,32650.0,9
2019-02-01 06:15:00,34137.999,34088.001,9
2019-02-01 06:30:00,35786.0,35735.998999999996,9
2019-02-01 06:45:00,37619.0,37568.998999999996,9
2019-02-01 07:00:00,39536.998999999996,39486.99900000001,9
2019-02-01 07:15:00,41426.001000000004,41376.00000000001,9
2019-02-01 07:30:00,43168.00000000001,43117.998999999996,9
2019-02-01 07:45:00,44675.001,44624.998999999996,9
2019-02-01 08:00:00,45973.00000000001,45922.999,9
2019-02-01 08:15:00,47114.001,47063.999,9
2019-02-01 08:30:00,48150.99899999999,48100.998999999996,9
2019-02-01 08:45:00,49233.00000000001,49070.001000000004,9
2019-02-01 09:00:00,49730.0,49944.998999999996,9
2019-02-01 09:15:00,50091.998999999996,50678.00199999999,9
2019-02-01 09:30:00,50108.001,51225.0,9
2019-02-01 09:45:00,50012.0,51560.001000000004,9
2019-02-01 10:00:00,50198.998999999996,51727.001000000004,9
2019-02-01 10:15:00,50322.998999999996,51789.998999999996,9
2019-02-01 10:30:00,50453.99999999999,51811.998999999996,9
2019-02-01 10:45:00,50576.998999999996,51832.0,9
2019-02-01 11:00:00,50598.001000000004,51795.0,9
2019-02-01 11:15:00,50540.998999999996,51625.001,9
2019-02-01 11:30:00,50565.001000000004,51241.0,9
2019-02-01 11:45:00,50317.0,50597.0,9
2019-02-01 12:00:00,49488.998999999996,49769.0,9
2019-02-01 12:15:00,48585.999,48866.00099999999,9
2019-02-01 12:30:00,47673.001,47995.0,9
2019-02-01 12:45:00,47275.001,47249.00000000001,9
2019-02-01 13:00:00,47045.998999999996,46670.001,9
2019-02-01 13:15:00,47114.998999999996,46283.0,9
2019-02-01 13:30:00,47329.002,46114.998999999996,9
2019-02-01 13:45:00,47666.00000000001,46175.0,9
2019-02-01 14:00:00,47997.99999999999,46399.0,9
2019-02-01 14:15:00,48069.0,46708.001,9
2019-02-01 14:30:00,48120.001000000004,47021.001000000004,9
2019-02-01 14:45:00,48503.0,47273.99999999999,9
2019-02-01 15:00:00,48422.0,47481.001000000004,9
2019-02-01 15:15:00,48167.0,47670.001,9
2019-02-01 15:30:00,48367.001000000004,47871.00000000001,9
2019-02-01 15:45:00,48490.0,48105.0,9
2019-02-01 16:00:00,48754.99999999999,48362.0,9
2019-02-01 16:15:00,48826.001,48625.0,9
2019-02-01 16:30:00,48944.00000000001,48873.998,9
2019-02-01 16:45:00,49213.0,49096.998999999996,9
2019-02-01 17:00:00,49071.998999999996,49301.001,9
2019-02-01 17:15:00,49728.998999999996,49502.999,9
2019-02-01 17:30:00,50414.99999999999,49714.001000000004,9
2019-02-01 17:45:00,50651.998999999996,49940.001,9
2019-02-01 18:00:00,49782.0,50149.0,9
2019-02-01 18:15:00,49650.001,50300.0,9
2019-02-01 18:30:00,49641.0,50348.998999999996,9
