Date,Total Load [MW],Forecast Total load [MW],Bidding zone
2019-01-01 00:00:00,2817.316,2702.843,Centre-Nord
2019-01-01 00:15:00,2864.684,2805.319,Centre-Nord
2019-01-01 00:30:00,2823.434,2758.5,Centre-Nord
2019-01-01 00:45:00,2793.737,2730.358,Centre-Nord
2019-01-01 01:00:00,2757.027,2690.407,Centre-Nord
2019-01-01 01:15:00,2738.31,2666.919,Centre-Nord
2019-01-01 01:30:00,2709.374,2644.088,Centre-Nord
2019-01-01 01:45:00,2683.657,2620.141,Centre-Nord
2019-01-01 02:00:00,2678.514,2610.248,Centre-Nord
2019-01-01 02:15:00,2680.461,2614.582,Centre-Nord
2019-01-01 02:30:00,2649.031,2587.053,Centre-Nord
2019-01-01 02:45:00,2609.039,2555.642,Centre-Nord
2019-01-01 03:00:00,2566.542,2527.017,Centre-Nord
2019-01-01 03:15:00,2524.718,2506.609,Centre-Nord
2019-01-01 03:30:00,2494.06,2475.119,Centre-Nord
2019-01-01 03:45:00,2473.011,2451.925,Centre-Nord
2019-01-01 04:00:00,2456.778,2438.261,Centre-Nord
2019-01-01 04:15:00,2436.609,2424.464,Centre-Nord
2019-01-01 04:30:00,2429.342,2416.117,Centre-Nord
2019-01-01 04:45:00,2429.387,2415.664,Centre-Nord
2019-01-01 05:00:00,2441.009,2415.116,Centre-Nord
2019-01-01 05:15:00,2425.021,2405.956,Centre-Nord
2019-01-01 05:30:00,2426.132,2408.337,Centre-Nord
2019-01-01 05:45:00,2439.614,2436.72,Centre-Nord
2019-01-01 06:00:00,2495.139,2471.461,Centre-Nord
2019-01-01 06:15:00,2511.114,2480.506,Centre-Nord
2019-01-01 06:30:00,2519.29,2495.385,Centre-Nord
2019-01-01 06:45:00,2524.922,2506.51,Centre-Nord
2019-01-01 07:00:00,2527.806,2501.054,Centre-Nord
2019-01-01 07:15:00,2522.08,2516.799,Centre-Nord
2019-01-01 07:30:00,2516.212,2526.553,Centre-Nord
2019-01-01 07:45:00,2468.875,2504.735,Centre-Nord
2019-01-01 08:00:00,2450.077,2472.512,Centre-Nord
2019-01-01 08:15:00,2490.152,2483.752,Centre-Nord
2019-01-01 08:30:00,2547.168,2504.335,Centre-Nord
2019-01-01 08:45:00,2603.839,2541.626,Centre-Nord
2019-01-01 09:00:00,2666.41,2605.315,Centre-Nord
2019-01-01 09:15:00,2686.006,2644.464,Centre-Nord
2019-01-01 09:30:00,2718.747,2690.464,Centre-Nord
2019-01-01 09:45:00,2762.052,2736.191,Centre-Nord
2019-01-01 10:00:00,2820.949,2792.075,Centre-Nord
2019-01-01 10:15:00,2851.074,2831.842,Centre-Nord
2019-01-01 10:30:00,2924.187,2915.356,Centre-Nord
2019-01-01 10:45:00,2945.432,2961.064,Centre-Nord
2019-01-01 11:00:00,2924.012,2978.656,Centre-Nord
2019-01-01 11:15:00,2951.251,3008.659,Centre-Nord
2019-01-01 11:30:00,2931.946,2974.334,Centre-Nord
2019-01-01 11:45:00,2963.012,3013.807,Centre-Nord
2019-01-01 12:00:00,3004.9,3023.471,Centre-Nord
2019-01-01 12:15:00,3009.632,3044.425,Centre-Nord
2019-01-01 12:30:00,3011.551,3058.52,Centre-Nord
2019-01-01 12:45:00,3048.929,3104.706,Centre-Nord
2019-01-01 13:00:00,2994.26,3047.461,Centre-Nord
