Date,Total Load [MW],Forecast Total load [MW],Bidding zone
2019-05-01 00:00:00,4405.926,4689.286,Centre-South
2019-05-01 00:15:00,4240.57,4457.587,Centre-South
2019-05-01 00:30:00,4099.537,4310.142,Centre-South
2019-05-01 00:45:00,3993.861,4214.287,Centre-South
2019-05-01 01:00:00,3897.058,4098.651,Centre-South
2019-05-01 01:15:00,3834.443,3995.268,Centre-South
2019-05-01 01:30:00,3745.388,3906.303,Centre-South
2019-05-01 01:45:00,3732.127,3876.348,Centre-South
2019-05-01 02:00:00,3690.14,3817.306,Centre-South
2019-05-01 02:15:00,3640.545,3758.227,Centre-South
2019-05-01 02:30:00,3607.736,3706.62,Centre-South
2019-05-01 02:45:00,3557.904,3637.051,Centre-South
2019-05-01 03:00:00,3553.148,3630.036,Centre-South
2019-05-01 03:15:00,3528.06,3582.777,Centre-South
2019-05-01 03:30:00,3512.062,3575.909,Centre-South
2019-05-01 03:45:00,3486.793,3538.732,Centre-South
2019-05-01 04:00:00,3511.184,3545.939,Centre-South
2019-05-01 04:15:00,3449.28,3499.189,Centre-South
2019-05-01 04:30:00,3526.272,3563.782,Centre-South
2019-05-01 04:45:00,3462.429,3521.066,Centre-South
2019-05-01 05:00:00,3540.61,3556.829,Centre-South
2019-05-01 05:15:00,3454.295,3457.251,Centre-South
2019-05-01 05:30:00,3464.371,3463.267,Centre-South
2019-05-01 05:45:00,3380.825,3405.563,Centre-South
2019-05-01 06:00:00,3326.696,3389.789,Centre-South
2019-05-01 06:15:00,3283.508,3348.264,Centre-South
2019-05-01 06:30:00,3318.954,3338.949,Centre-South
2019-05-01 06:45:00,3429.401,3414.914,Centre-South
2019-05-01 07:00:00,3544.684,3490.127,Centre-South
2019-05-01 07:15:00,3657.581,3596.032,Centre-South
2019-05-01 07:30:00,3828.802,3764.353,Centre-South
2019-05-01 07:45:00,4011.116,3964.254,Centre-South
2019-05-01 08:00:00,4094.827,4099.788,Centre-South
2019-05-01 08:15:00,4137.815,4177.875,Centre-South
2019-05-01 08:30:00,4225.298,4274.574,Centre-South
2019-05-01 08:45:00,4284.563,4342.098,Centre-South
2019-05-01 09:00:00,4356.689,4394.105,Centre-South
2019-05-01 09:15:00,4459.886,4477.255,Centre-South
2019-05-01 09:30:00,4507.099,4447.728,Centre-South
2019-05-01 09:45:00,4564.45,4484.692,Centre-South
2019-05-01 10:00:00,4681.346,4641.33,Centre-South
2019-05-01 10:15:00,4763.487,4755.055,Centre-South
2019-05-01 10:30:00,4799.21,4825.71,Centre-South
2019-05-01 10:45:00,4757.248,4891.423,Centre-South
2019-05-01 11:00:00,4913.599,5024.546,Centre-South
2019-05-01 11:15:00,4974.311,5049.147,Centre-South
2019-05-01 11:30:00,4838.835,4909.444,Centre-South
2019-05-01 11:45:00,4850.883,4778.043,Centre-South
2019-05-01 12:00:00,4651.009,4590.749,Centre-South
2019-05-01 12:15:00,4687.37,4654.089,Centre-South
2019-05-01 12:30:00,4720.481,4620.186,Centre-South
2019-05-01 12:45:00,4799.829,4664.612,Centre-South
2019-05-01 13:00:00,4673.978,4581.817,Centre-South
2019-05-01 13:15:00,4703.094,4667.198,Centre-South
2019-05-01 13:30:00,4654.281,4599.165,Centre-South
2019-05-01 13:45:00,4536.546,4528.514,Centre-South
2019-05-01 14:00:00,4507.991,4624.183,Centre-South
2019-05-01 14:15:00,4326.484,4471.411,Centre-South
2019-05-01 14:30:00,4458.545,4445.927,Centre-South
2019-05-01 14:45:00,4670.39,4654.415,Centre-South
2019-05-01 15:00:00,4541.331,4585.213,Centre-South
2019-05-01 15:15:00,4536.744,4622.679,Centre-South
2019-05-01 15:30:00,4255.79,4435.665,Centre-South
2019-05-01 15:45:00,4095.946,4336.617,Centre-South
2019-05-01 16:00:00,3904.675,4074.458,Centre-South
2019-05-01 16:15:00,3958.403,4061.709,Centre-South
2019-05-01 16:30:00,3828.874,3973.227,Centre-South
2019-05-01 16:45:00,3991.549,4042.75,Centre-South
2019-05-01 17:00:00,4050.47,4019.466,Centre-South
2019-05-01 17:15:00,4350.279,4322.954,Centre-South
2019-05-01 17:30:00,4393.191,4368.594,Centre-South
2019-05-01 17:45:00,4247.085,4249.342,Centre-South
2019-05-01 18:00:00,4118.497,4113.157,Centre-South
2019-05-01 18:15:00,4163.454,4155.097,Centre-South
2019-05-01 18:30:00,4212.005,4162.974,Centre-South
2019-05-01 18:45:00,4386.373,4285.296,Centre-South
2019-05-01 19:00:00,4416.794,4317.496,Centre-South
2019-05-01 19:15:00,4545.429,4482.872,Centre-South
2019-05-01 19:30:00,4696.411,4629.386,Centre-South
2019-05-01 19:45:00,4833.675,4777.83,Centre-South
