Date,Total Load [MW],Forecast Total load [MW],Bidding zone
2019-04-01 00:00:00,13741.851,13701.523,North
2019-04-01 00:15:00,13603.962,13633.529,North
2019-04-01 00:30:00,13536.556,13525.684,North
2019-04-01 00:45:00,13334.839,13278.796,North
2019-04-01 01:00:00,13175.648,13125.221,North
2019-04-01 01:15:00,12889.817,12791.405,North
2019-04-01 01:30:00,12874.436,12730.984,North
2019-04-01 01:45:00,12687.915,12497.752,North
2019-04-01 02:00:00,12707.328,12450.026,North
2019-04-01 02:15:00,12789.092,12462.987,North
2019-04-01 02:30:00,12778.945,12510.71,North
2019-04-01 02:45:00,12565.556,12361.039,North
2019-04-01 03:00:00,12655.363,12296.585,North
2019-04-01 03:15:00,12618.492,12302.335,North
2019-04-01 03:30:00,12526.29,12274.056,North
2019-04-01 03:45:00,12419.238,12140.603,North
2019-04-01 04:00:00,12594.077,12215.333,North
2019-04-01 04:15:00,12588.304,12239.83,North
2019-04-01 04:30:00,12810.777,12386.059,North
2019-04-01 04:45:00,13115.919,12570.135,North
2019-04-01 05:00:00,13447.538,12789.607,North
2019-04-01 05:15:00,13633.633,13105.125,North
2019-04-01 05:30:00,14194.123,13604.126,North
2019-04-01 05:45:00,15256.44,14652.37,North
2019-04-01 06:00:00,16500.031,15882.138,North
2019-04-01 06:15:00,17650.424,17026.157,North
2019-04-01 06:30:00,18951.889,18316.736,North
2019-04-01 06:45:00,19794.353,19161.927,North
2019-04-01 07:00:00,20607.976,19977.023,North
2019-04-01 07:15:00,21231.966,20606.809,North
2019-04-01 07:30:00,22154.116,21525.389,North
2019-04-01 07:45:00,22623.532,22003.725,North
2019-04-01 08:00:00,23592.798,22966.994,North
2019-04-01 08:15:00,24248.029,23622.477,North
2019-04-01 08:30:00,24951.647,24321.807,North
2019-04-01 08:45:00,25773.051,25058.692,North
2019-04-01 09:00:00,25778.314,25080.594,North
2019-04-01 09:15:00,25855.267,25131.7,North
2019-04-01 09:30:00,25695.866,25173.727,North
2019-04-01 09:45:00,25464.137,25108.824,North
2019-04-01 10:00:00,25554.463,25205.481,North
2019-04-01 10:15:00,25521.023,25145.801,North
2019-04-01 10:30:00,25375.924,25150.389,North
2019-04-01 10:45:00,25212.121,24885.682,North
2019-04-01 11:00:00,25161.735,24755.662,North
2019-04-01 11:15:00,25009.915,24698.202,North
2019-04-01 11:30:00,25045.704,24624.159,North
2019-04-01 11:45:00,24932.852,24576.813,North
2019-04-01 12:00:00,24895.163,24537.973,North
2019-04-01 12:15:00,24432.688,24080.299,North
2019-04-01 12:30:00,24256.174,23904.209,North
2019-04-01 12:45:00,24125.104,23772.586,North
2019-04-01 13:00:00,23911.228,23559.471,North
2019-04-01 13:15:00,23936.019,23582.139,North
2019-04-01 13:30:00,23514.97,23573.634,North
2019-04-01 13:45:00,23764.018,23750.323,North
2019-04-01 14:00:00,24163.129,24125.235,North
2019-04-01 14:15:00,24151.979,24232.408,North
2019-04-01 14:30:00,24216.886,24414.124,North
2019-04-01 14:45:00,24353.743,24501.721,North
2019-04-01 15:00:00,24077.608,24283.618,North
2019-04-01 15:15:00,24068.702,24266.196,North
2019-04-01 15:30:00,23889.033,24107.716,North
2019-04-01 15:45:00,23607.003,23945.663,North
2019-04-01 16:00:00,23963.071,24254.419,North
2019-04-01 16:15:00,24294.964,24382.361,North
2019-04-01 16:30:00,24373.762,24339.576,North
2019-04-01 16:45:00,24008.926,23995.832,North
2019-04-01 17:00:00,23501.984,23470.868,North
2019-04-01 17:15:00,23019.415,22813.298,North
2019-04-01 17:30:00,22470.721,22589.106,North
2019-04-01 17:45:00,22328.139,22360.183,North
2019-04-01 18:00:00,22406.269,22393.615,North
2019-04-01 18:15:00,22412.093,22366.64,North
2019-04-01 18:30:00,22633.148,22349.839,North
2019-04-01 18:45:00,22800.63,22280.057,North
2019-04-01 19:00:00,22687.506,22352.818,North
2019-04-01 19:15:00,23111.206,22538.337,North
2019-04-01 19:30:00,23197.483,22630.619,North
2019-04-01 19:45:00,23637.359,23070.676,North
2019-04-01 20:00:00,23921.45,23359.447,North
2019-04-01 20:15:00,24259.138,23735.319,North
2019-04-01 20:30:00,24043.157,23966.743,North
2019-04-01 20:45:00,23717.718,23988.685,North
2019-04-01 21:00:00,23299.464,23779.473,North
2019-04-01 21:15:00,23237.476,23668.639,North
2019-04-01 21:30:00,22743.473,23226.808,North
2019-04-01 21:45:00,22312.031,22798.78,North
2019-04-01 22:00:00,21472.698,21954.657,North
2019-04-01 22:15:00,20510.176,20956.534,North
2019-04-01 22:30:00,19753.886,20196.954,North
2019-04-01 22:45:00,18925.685,19363.011,North
2019-04-01 23:00:00,18345.719,18791.898,North
2019-04-01 23:15:00,18006.028,18358.377,North
2019-04-01 23:30:00,17679.36,18013.101,North
2019-04-01 23:45:00,17123.472,17351.151,North
2019-04-02 00:00:00,16938.33,16820.772,North
2019-04-02 00:15:00,16908.478,16995.574,North
2019-04-02 00:30:00,16780.195,16958.866,North
2019-04-02 00:45:00,16592.834,16794.87,North
2019-04-02 01:00:00,16537.892,16631.02,North
2019-04-02 01:15:00,16436.286,16566.598,North
2019-04-02 01:30:00,16125.962,16408.596,North
2019-04-02 01:45:00,16083.241,16192.71,North
2019-04-02 02:00:00,15976.073,16043.448,North
2019-04-02 02:15:00,15890.999,15973.358,North
