Date,Total Load [MW],Forecast Total load [MW],Bidding zone
2019-03-01 00:00:00,901.903,910.449,Sardinia
2019-03-01 00:15:00,925.872,937.567,Sardinia
2019-03-01 00:30:00,915.06,932.64,Sardinia
2019-03-01 00:45:00,905.251,918.81,Sardinia
2019-03-01 01:00:00,848.084,860.271,Sardinia
2019-03-01 01:15:00,711.425,721.408,Sardinia
2019-03-01 01:30:00,640.011,643.895,Sardinia
2019-03-01 01:45:00,617.672,623.816,Sardinia
2019-03-01 02:00:00,617.171,621.556,Sardinia
2019-03-01 02:15:00,616.52,620.193,Sardinia
2019-03-01 02:30:00,607.791,614.714,Sardinia
2019-03-01 02:45:00,615.639,617.071,Sardinia
2019-03-01 03:00:00,610.666,608.12,Sardinia
2019-03-01 03:15:00,604.007,600.477,Sardinia
2019-03-01 03:30:00,601.492,599.453,Sardinia
2019-03-01 03:45:00,604.197,601.028,Sardinia
2019-03-01 04:00:00,605.154,598.412,Sardinia
2019-03-01 04:15:00,603.435,597.616,Sardinia
2019-03-01 04:30:00,612.785,604.888,Sardinia
2019-03-01 04:45:00,617.501,608.404,Sardinia
2019-03-01 05:00:00,634.854,617.439,Sardinia
2019-03-01 05:15:00,650.027,627.333,Sardinia
2019-03-01 05:30:00,656.263,638.456,Sardinia
2019-03-01 05:45:00,676.488,661.787,Sardinia
2019-03-01 06:00:00,705.561,690.895,Sardinia
2019-03-01 06:15:00,720.846,706.537,Sardinia
2019-03-01 06:30:00,756.594,742.228,Sardinia
2019-03-01 06:45:00,804.519,789.85,Sardinia
2019-03-01 07:00:00,825.446,810.947,Sardinia
2019-03-01 07:15:00,855.198,840.697,Sardinia
2019-03-01 07:30:00,899.105,884.37,Sardinia
2019-03-01 07:45:00,919.544,904.967,Sardinia
2019-03-01 08:00:00,951.632,937.007,Sardinia
2019-03-01 08:15:00,950.283,938.602,Sardinia
2019-03-01 08:30:00,936.549,931.172,Sardinia
2019-03-01 08:45:00,917.977,926.963,Sardinia
2019-03-01 09:00:00,918.586,934.968,Sardinia
2019-03-01 09:15:00,927.965,948.799,Sardinia
2019-03-01 09:30:00,932.126,951.536,Sardinia
2019-03-01 09:45:00,954.168,972.912,Sardinia
2019-03-01 10:00:00,957.061,985.463,Sardinia
2019-03-01 10:15:00,943.59,971.931,Sardinia
2019-03-01 10:30:00,946.725,971.135,Sardinia
2019-03-01 10:45:00,962.113,979.181,Sardinia
2019-03-01 11:00:00,1007.109,1016.414,Sardinia
2019-03-01 11:15:00,996.443,1002.581,Sardinia
2019-03-01 11:30:00,956.732,956.608,Sardinia
2019-03-01 11:45:00,948.083,950.623,Sardinia
2019-03-01 12:00:00,950.119,952.682,Sardinia
2019-03-01 12:15:00,946.202,948.774,Sardinia
2019-03-01 12:30:00,925.544,928.078,Sardinia
2019-03-01 12:45:00,920.601,923.139,Sardinia
2019-03-01 13:00:00,943.205,945.819,Sardinia
2019-03-01 13:15:00,918.407,920.962,Sardinia
2019-03-01 13:30:00,885.93,905.701,Sardinia
2019-03-01 13:45:00,823.04,843.014,Sardinia
2019-03-01 14:00:00,860.636,875.198,Sardinia
2019-03-01 14:15:00,855.039,867.134,Sardinia
2019-03-01 14:30:00,854.807,865.858,Sardinia
2019-03-01 14:45:00,858.783,867.625,Sardinia
2019-03-01 15:00:00,843.822,854.119,Sardinia
2019-03-01 15:15:00,855.462,861.645,Sardinia
2019-03-01 15:30:00,850.286,851.63,Sardinia
2019-03-01 15:45:00,833.404,841.954,Sardinia
2019-03-01 16:00:00,853.861,855.705,Sardinia
2019-03-01 16:15:00,872.037,871.108,Sardinia
2019-03-01 16:30:00,871.657,869.952,Sardinia
2019-03-01 16:45:00,884.319,878.852,Sardinia
2019-03-01 17:00:00,889.762,881.435,Sardinia
2019-03-01 17:15:00,898.798,887.604,Sardinia
2019-03-01 17:30:00,896.864,887.666,Sardinia
2019-03-01 17:45:00,925.097,909.846,Sardinia
2019-03-01 18:00:00,943.307,923.153,Sardinia
2019-03-01 18:15:00,964.62,944.297,Sardinia
2019-03-01 18:30:00,995.799,975.099,Sardinia
2019-03-01 18:45:00,1037.151,1015.821,Sardinia
2019-03-01 19:00:00,1041.257,1023.015,Sardinia
2019-03-01 19:15:00,1060.46,1047.885,Sardinia
