Date,Total Load [MW],Forecast Total load [MW],Bidding zone
2019-04-01 00:00:00,1737.491,1732.392,Sicily
2019-04-01 00:15:00,1678.816,1682.465,Sicily
2019-04-01 00:30:00,1619.263,1617.962,Sicily
2019-04-01 00:45:00,1572.55,1565.941,Sicily
2019-04-01 01:00:00,1531.578,1525.717,Sicily
2019-04-01 01:15:00,1504.616,1493.128,Sicily
2019-04-01 01:30:00,1476.885,1460.429,Sicily
2019-04-01 01:45:00,1456.835,1435.001,Sicily
2019-04-01 02:00:00,1443.53,1414.301,Sicily
2019-04-01 02:15:00,1432.48,1395.953,Sicily
2019-04-01 02:30:00,1402.434,1372.996,Sicily
2019-04-01 02:45:00,1393.913,1371.225,Sicily
2019-04-01 03:00:00,1408.948,1369.005,Sicily
2019-04-01 03:15:00,1387.75,1352.979,Sicily
2019-04-01 03:30:00,1384.329,1356.453,Sicily
2019-04-01 03:45:00,1395.979,1364.659,Sicily
2019-04-01 04:00:00,1400.076,1357.971,Sicily
2019-04-01 04:15:00,1391.601,1353.078,Sicily
2019-04-01 04:30:00,1409.312,1362.589,Sicily
2019-04-01 04:45:00,1416.404,1357.464,Sicily
2019-04-01 05:00:00,1440.693,1370.206,Sicily
2019-04-01 05:15:00,1451.043,1394.793,Sicily
2019-04-01 05:30:00,1515.133,1452.155,Sicily
2019-04-01 05:45:00,1571.288,1509.074,Sicily
2019-04-01 06:00:00,1626.593,1565.68,Sicily
2019-04-01 06:15:00,1617.968,1560.743,Sicily
2019-04-01 06:30:00,1658.833,1603.239,Sicily
2019-04-01 06:45:00,1725.576,1670.444,Sicily
2019-04-01 07:00:00,1806.206,1750.906,Sicily
2019-04-01 07:15:00,1926.218,1869.502,Sicily
2019-04-01 07:30:00,2025.333,1967.855,Sicily
2019-04-01 07:45:00,2091.604,2034.301,Sicily
2019-04-01 08:00:00,2097.454,2041.819,Sicily
2019-04-01 08:15:00,2141.519,2086.272,Sicily
2019-04-01 08:30:00,2124.168,2070.549,Sicily
2019-04-01 08:45:00,2158.896,2099.058,Sicily
2019-04-01 09:00:00,2201.268,2141.688,Sicily
2019-04-01 09:15:00,2262.195,2198.887,Sicily
2019-04-01 09:30:00,2233.59,2188.203,Sicily
2019-04-01 09:45:00,2165.412,2135.197,Sicily
2019-04-01 10:00:00,2124.111,2095.103,Sicily
2019-04-01 10:15:00,2110.229,2079.203,Sicily
2019-04-01 10:30:00,2024.925,2006.928,Sicily
2019-04-01 10:45:00,2017.414,1991.293,Sicily
