Date,Total Load [MW],Forecast Total load [MW],Bidding zone
2019-01-01 00:00:00,3095.666,2969.883,South
2019-01-01 00:15:00,2954.834,2893.6,South
2019-01-01 00:30:00,2872.858,2806.787,South
2019-01-01 00:45:00,2900.685,2834.88,South
2019-01-01 01:00:00,2860.815,2791.688,South
2019-01-01 01:15:00,2916.817,2840.772,South
2019-01-01 01:30:00,2802.886,2735.347,South
2019-01-01 01:45:00,2818.422,2751.717,South
2019-01-01 02:00:00,2731.262,2661.651,South
2019-01-01 02:15:00,2758.659,2690.858,South
2019-01-01 02:30:00,2641.778,2579.969,South
2019-01-01 02:45:00,2620.658,2567.023,South
2019-01-01 03:00:00,2476.626,2438.484,South
2019-01-01 03:15:00,2452.849,2435.256,South
2019-01-01 03:30:00,2369.502,2351.507,South
2019-01-01 03:45:00,2366.815,2346.635,South
2019-01-01 04:00:00,2300.594,2283.255,South
2019-01-01 04:15:00,2292.015,2280.59,South
2019-01-01 04:30:00,2272.946,2260.573,South
2019-01-01 04:45:00,2314.183,2301.11,South
2019-01-01 05:00:00,2280.478,2256.287,South
2019-01-01 05:15:00,2288.971,2270.976,South
2019-01-01 05:30:00,2233.113,2216.734,South
2019-01-01 05:45:00,2266.415,2263.726,South
2019-01-01 06:00:00,2270.783,2249.234,South
2019-01-01 06:15:00,2311.444,2283.27,South
2019-01-01 06:30:00,2242.662,2221.382,South
2019-01-01 06:45:00,2355.375,2338.2,South
2019-01-01 07:00:00,2322.03,2297.456,South
2019-01-01 07:15:00,2327.116,2322.242,South
2019-01-01 07:30:00,2236.853,2246.046,South
2019-01-01 07:45:00,2247.335,2279.977,South
2019-01-01 08:00:00,2281.256,2302.144,South
2019-01-01 08:15:00,2410.63,2404.434,South
2019-01-01 08:30:00,2444.02,2402.922,South
2019-01-01 08:45:00,2567.654,2506.306,South
2019-01-01 09:00:00,2553.933,2495.416,South
2019-01-01 09:15:00,2651.636,2610.626,South
2019-01-01 09:30:00,2625.782,2598.466,South
2019-01-01 09:45:00,2674.759,2649.716,South
2019-01-01 10:00:00,2732.552,2704.583,South
2019-01-01 10:15:00,2920.602,2900.901,South
2019-01-01 10:30:00,2888.505,2879.783,South
2019-01-01 10:45:00,3003.703,3019.645,South
2019-01-01 11:00:00,2835.326,2888.313,South
2019-01-01 11:15:00,2724.386,2777.38,South
2019-01-01 11:30:00,2819.438,2860.199,South
2019-01-01 11:45:00,2910.461,2960.355,South
2019-01-01 12:00:00,2826.784,2844.255,South
2019-01-01 12:15:00,2985.433,3019.947,South
2019-01-01 12:30:00,3107.154,3155.614,South
2019-01-01 12:45:00,3194.806,3253.252,South
2019-01-01 13:00:00,3088.439,3143.313,South
2019-01-01 13:15:00,3217.884,3287.033,South
2019-01-01 13:30:00,3181.8,3237.091,South
2019-01-01 13:45:00,3195.222,3274.326,South
2019-01-01 14:00:00,2884.479,2952.563,South
2019-01-01 14:15:00,2903.617,3002.969,South
2019-01-01 14:30:00,2722.454,2789.62,South
2019-01-01 14:45:00,2723.371,2759.522,South
2019-01-01 15:00:00,2735.68,2784.462,South
2019-01-01 15:15:00,2782.618,2833.018,South
2019-01-01 15:30:00,2709.049,2741.716,South
2019-01-01 15:45:00,2782.257,2804.74,South
2019-01-01 16:00:00,2874.96,2862.076,South
2019-01-01 16:15:00,2943.836,2931.854,South
2019-01-01 16:30:00,2999.765,2972.431,South
2019-01-01 16:45:00,3112.368,3084.831,South
2019-01-01 17:00:00,3294.368,3266.255,South
2019-01-01 17:15:00,3407.338,3379.294,South
2019-01-01 17:30:00,3404.573,3377.393,South
2019-01-01 17:45:00,3400.359,3376.58,South
2019-01-01 18:00:00,3447.243,3433.626,South
2019-01-01 18:15:00,3518.507,3525.716,South
2019-01-01 18:30:00,3507.637,3516.429,South
2019-01-01 18:45:00,3485.211,3477.435,South
2019-01-01 19:00:00,3492.429,3474.093,South
2019-01-01 19:15:00,3460.897,3463.022,South
2019-01-01 19:30:00,3544.461,3554.996,South
2019-01-01 19:45:00,3528.173,3563.336,South
2019-01-01 20:00:00,3533.73,3591.854,South
2019-01-01 20:15:00,3544.558,3627.264,South
2019-01-01 20:30:00,3564.005,3663.471,South
2019-01-01 20:45:00,3573.159,3673.257,South
2019-01-01 21:00:00,3592.706,3727.377,South
2019-01-01 21:15:00,3400.204,3504.861,South
2019-01-01 21:30:00,3530.062,3628.724,South
2019-01-01 21:45:00,3505.322,3615.118,South
2019-01-01 22:00:00,3479.993,3593.257,South
2019-01-01 22:15:00,3397.732,3492.481,South
2019-01-01 22:30:00,3314.076,3409.051,South
2019-01-01 22:45:00,3212.108,3311.39,South
2019-01-01 23:00:00,3144.688,3236.043,South
2019-01-01 23:15:00,3146.078,3241.163,South
2019-01-01 23:30:00,2961.323,3038.309,South
2019-01-01 23:45:00,2789.281,2839.428,South
2019-01-02 00:00:00,2745.733,2705.506,South
2019-01-02 00:15:00,2580.871,2572.638,South
2019-01-02 00:30:00,2559.63,2554.689,South
2019-01-02 00:45:00,2544.92,2537.794,South
2019-01-02 01:00:00,2476.929,2465.888,South
2019-01-02 01:15:00,2481.891,2469.611,South
2019-01-02 01:30:00,2415.176,2395.633,South
2019-01-02 01:45:00,2395.896,2372.625,South
2019-01-02 02:00:00,2341.534,2309.9,South
2019-01-02 02:15:00,2328.689,2304.797,South
2019-01-02 02:30:00,2259.168,2232.935,South
2019-01-02 02:45:00,2301.196,2272.722,South
2019-01-02 03:00:00,2243.866,2214.69,South
2019-01-02 03:15:00,2280.851,2249.991,South
2019-01-02 03:30:00,2236.509,2202.217,South
2019-01-02 03:45:00,2264.333,2219.015,South
2019-01-02 04:00:00,2274.548,2216.364,South
2019-01-02 04:15:00,2263.691,2205.184,South
2019-01-02 04:30:00,2231.374,2171.314,South
2019-01-02 04:45:00,2319.968,2239.437,South
2019-01-02 05:00:00,2434.045,2310.206,South
2019-01-02 05:15:00,2461.877,2323.588,South
2019-01-02 05:30:00,2466.517,2334.049,South
2019-01-02 05:45:00,2553.674,2420.13,South
2019-01-02 06:00:00,2580.574,2450.522,South
2019-01-02 06:15:00,2624.969,2497.871,South
2019-01-02 06:30:00,2716.501,2590.304,South
2019-01-02 06:45:00,2874.729,2746.62,South
2019-01-02 07:00:00,2980.616,2853.22,South
2019-01-02 07:15:00,3185.661,3055.117,South
2019-01-02 07:30:00,3225.828,3099.16,South
2019-01-02 07:45:00,3428.373,3299.419,South
2019-01-02 08:00:00,3481.94,3356.309,South
2019-01-02 08:15:00,3479.751,3384.105,South
2019-01-02 08:30:00,3561.536,3491.069,South
2019-01-02 08:45:00,3713.396,3672.098,South
2019-01-02 09:00:00,3817.625,3780.195,South
2019-01-02 09:15:00,3840.592,3841.981,South
2019-01-02 09:30:00,3904.365,3916.103,South
2019-01-02 09:45:00,3862.894,3922.86,South
2019-01-02 10:00:00,3823.885,3902.183,South
2019-01-02 10:15:00,3767.789,3870.421,South
2019-01-02 10:30:00,3568.487,3711.949,South
2019-01-02 10:45:00,3464.126,3591.308,South
2019-01-02 11:00:00,3443.203,3516.449,South
2019-01-02 11:15:00,3513.786,3567.263,South
2019-01-02 11:30:00,3488.626,3520.955,South
2019-01-02 11:45:00,3512.945,3519.745,South
2019-01-02 12:00:00,3502.822,3527.729,South
2019-01-02 12:15:00,3707.345,3756.928,South
2019-01-02 12:30:00,3627.673,3660.849,South
2019-01-02 12:45:00,3897.688,3890.825,South
2019-01-02 13:00:00,3966.016,3945.431,South
2019-01-02 13:15:00,3934.383,3957.697,South
2019-01-02 13:30:00,3833.817,3816.385,South
2019-01-02 13:45:00,3826.785,3814.153,South
2019-01-02 14:00:00,3780.938,3762.079,South
2019-01-02 14:15:00,4077.936,4029.803,South
2019-01-02 14:30:00,4225.189,4175.753,South
2019-01-02 14:45:00,4292.582,4295.035,South
2019-01-02 15:00:00,4076.197,4066.297,South
2019-01-02 15:15:00,4000.787,4009.08,South
2019-01-02 15:30:00,4066.687,4078.594,South
2019-01-02 15:45:00,4164.993,4152.446,South
2019-01-02 16:00:00,4164.149,4130.823,South
2019-01-02 16:15:00,4183.887,4151.665,South
2019-01-02 16:30:00,4321.354,4268.904,South
2019-01-02 16:45:00,4638.957,4558.048,South
2019-01-02 17:00:00,4822.27,4741.981,South
2019-01-02 17:15:00,4869.081,4799.096,South
2019-01-02 17:30:00,4756.066,4755.956,South
2019-01-02 17:45:00,4755.665,4797.153,South
2019-01-02 18:00:00,4736.238,4810.83,South
2019-01-02 18:15:00,4866.718,4931.668,South
2019-01-02 18:30:00,4866.62,4919.784,South
2019-01-02 18:45:00,4795.175,4855.439,South
2019-01-02 19:00:00,4762.1,4828.547,South
2019-01-02 19:15:00,4688.188,4740.967,South
2019-01-02 19:30:00,4580.344,4675.491,South
2019-01-02 19:45:00,4590.088,4694.386,South
2019-01-02 20:00:00,4550.141,4636.635,South
2019-01-02 20:15:00,4565.412,4642.095,South
2019-01-02 20:30:00,4453.325,4500.617,South
2019-01-02 20:45:00,4404.135,4432.17,South
2019-01-02 21:00:00,4219.613,4270.878,South
2019-01-02 21:15:00,4140.116,4172.099,South
2019-01-02 21:30:00,3970.079,3998.303,South
2019-01-02 21:45:00,3891.475,3919.769,South
2019-01-02 22:00:00,3845.171,3873.824,South
2019-01-02 22:15:00,3734.163,3762.73,South
2019-01-02 22:30:00,3495.274,3522.76,South
2019-01-02 22:45:00,3452.25,3480.18,South
2019-01-02 23:00:00,3322.973,3350.659,South
2019-01-02 23:15:00,3283.49,3311.702,South
2019-01-02 23:30:00,3075.819,3103.12,South
2019-01-02 23:45:00,3028.493,3056.318,South
2019-01-03 00:00:00,2859.17,2886.419,South
2019-01-03 00:15:00,2745.046,2822.957,South
2019-01-03 00:30:00,2670.991,2751.154,South
2019-01-03 00:45:00,2665.982,2753.419,South
2019-01-03 01:00:00,2537.189,2628.413,South
2019-01-03 01:15:00,2524.079,2589.492,South
2019-01-03 01:30:00,2433.027,2484.817,South
2019-01-03 01:45:00,2437.553,2491.807,South
2019-01-03 02:00:00,2380.715,2417.411,South
2019-01-03 02:15:00,2276.055,2319.441,South
2019-01-03 02:30:00,2208.574,2259.08,South
2019-01-03 02:45:00,2301.23,2322.376,South
2019-01-03 03:00:00,2245.209,2254.353,South
2019-01-03 03:15:00,2266.89,2284.522,South
2019-01-03 03:30:00,2232.833,2226.878,South
2019-01-03 03:45:00,2264.03,2247.245,South
